x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15;;;;;;;;;;;;;;;CB LB;CB Up
7741.813361520257,1.8808384322789995,0.008,0.136,0.007,0.138,0.861,0.52,0.999,0.006,0.0,0.0,0.035,202.796,452.367;;;;;;;;;;;;;;;1;50
6416.421573935328,8.43472743165608,0.025,0.159,0.025,0.165,0.894,0.609,0.999,0.012,0.0,0.0,0.048,170.649,405.716;;;;;;;;;;;;;;;51;100
15551.179213400932,0.7410924394100518,0.012,0.154,0.01,0.158,0.795,0.464,0.999,0.005,0.0,0.017,0.081,208.302,455.801;;;;;;;;;;;;;;;101;150
6586.275811011686,0.24566939080056993,0.013,0.154,0.013,0.156,0.881,0.576,0.999,0.008,0.0,0.0,0.048,199.643,436.983;;;;;;;;;;;;;;;151;200
3970.6051207968426,1.1005502286429845,0.023,0.167,0.024,0.17,0.954,0.609,1.0,0.011,0.0,0.0,0.031,197.81,427.427;;;;;;;;;;;;;;;201;250
9256.362953940781,1.314784140884448,0.029,0.154,0.023,0.161,0.851,0.625,1.0,0.008,0.0,0.0,0.071,187.573,422.708;;;;;;;;;;;;;;;251;300
7097.740996657389,0.9286812996280103,0.021,0.173,0.021,0.176,0.908,0.577,0.999,0.009,0.0,0.0,0.047,207.358,438.663;;;;;;;;;;;;;;;301;350
7860.316211733809,2.1975287186374337,0.019,0.159,0.015,0.163,0.88,0.557,0.999,0.007,0.0,0.0,0.054,194.239,430.519;;;;;;;;;;;;;;;351;400
9839.712111631241,13.208942671039278,0.019,0.137,0.009,0.144,0.73,0.571,0.999,0.011,0.0,0.013,0.068,203.111,437.943;;;;;;;;;;;;;;;401;450
8299.814251538335,1.4783076877813588,0.017,0.142,0.017,0.144,0.927,0.564,1.0,0.006,0.001,0.002,0.06,209.729,439.654;;;;;;;;;;;;;;;451;500
359078.0446848291,6.861175011691991,0.014,0.096,0.003,0.105,0.386,0.354,0.994,0.004,0.0,0.054,0.275,199.491,1268.84;;;;;;;;;;;;;;;1;500
