x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
15144.436950600026,1.306996673172656,0.003,0.042,0.002,0.043,0.744,0.561,0.998,0.0,0.0,0.0,0.043,83.447,397.332
58948.08822075995,0.7739372724412609,0.004,0.032,0.002,0.034,0.593,0.549,1.0,0.004,0.0,0.0,0.099,90.408,596.173
125326.54241651505,0.0,0.002,0.034,0.0,0.036,0.237,0.469,0.999,0.0,0.0,0.007,0.138,93.744,794.183
216905.57870680146,2.088076375535256,0.007,0.032,0.002,0.036,0.454,0.506,0.999,0.004,0.0,0.0,0.163,87.604,951.868
207769.66598738972,0.0,0.004,0.022,0.0,0.026,0.265,0.44,0.998,0.0,0.0,0.0,0.171,89.967,1136.664
10667.508527425503,0.66991419035078,0.003,0.026,0.004,0.027,0.936,0.541,0.999,0.004,0.005,0.0,0.031,83.75,2045.021
44066.51837933293,0.4817980903071892,0.002,0.021,0.002,0.021,0.89,0.634,1.0,0.004,0.0,0.0,0.075,85.449,2230.159
84122.03506702003,0.9689765735999923,0.002,0.02,0.002,0.02,0.859,0.525,1.0,0.004,0.0,0.0,0.102,84.759,2366.577
138503.41288291488,1.5872917510802447,0.003,0.02,0.002,0.021,0.651,0.527,0.999,0.004,0.0,0.001,0.121,87.038,2564.788
186798.89514215162,2.074329204223472,0.003,0.016,0.002,0.018,0.631,0.508,1.0,0.004,0.0,0.003,0.132,92.409,2765.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
