x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3.3069260072668127,0.0003905474635149949,1.373,3.846,0.0,0.0,0.0,0.001,0.561,28.293
104.05363919618787,0.0001004321398820651,0.954,3.538,0.0,0.001,0.004,0.008,0.551,20.454
461.3323503663834,0.0192514958351476,0.358,2.067,0.0,0.001,0.021,0.026,0.583,25.811
1546.7080127381403,1.571417822520401e-6,0.465,2.14,0.0,0.001,0.034,0.062,0.692,33.559
2072.182363567995,0.0,0.336,1.864,0.0,0.0,0.031,0.061,0.657,41.443
2972.8264158639395,0.0,0.414,1.905,0.0,0.0,0.036,0.075,7.428,346.149
4878.37924014097,0.0,0.547,2.043,0.0,0.0,0.035,0.097,8.97,366.063
6436.6806096470345,0.0,0.74,1.948,0.0,0.0,0.036,0.117,8.894,382.499
7747.845158475457,0.11283682074836249,0.719,1.985,0.0,0.0,0.038,0.13,7.541,397.181
8664.783960434672,0.041896364782045475,0.681,1.963,0.0,0.0,0.043,0.139,7.517,419.739
