x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15;;;;;;;;;;;;;
2242.5931866784967,0.023044007919424417,0.022,0.084,0.003,0.1,0.326,0.34,0.456,0.002,0.0,0.0,0.318,6569.56,32312.033;;;;;;;;;;;;;ALSO X daily
2043.4062862754242,0.019340956266935688,0.018,0.088,0.003,0.102,0.327,0.343,0.452,0.002,0.0,0.035,0.291,658.485,3505.917;;;;;;;;;;;;;ALSo X hourly
1218.4546450767853,0.00962782766346569,0.005,0.026,0.001,0.03,0.396,0.43,0.99,0.002,0.0,0.0,0.175,375.222,2388.085;;;;;;;;;;;;;CVAR N
1223.5202052077482,0.00962782766346569,0.005,0.026,0.001,0.03,0.396,0.43,0.99,0.002,0.0,0.0,0.175,375.193,2380.282;;;;;;;;;;;;;CVAR N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
1299.7501878914866,0.010592338682682688,0.005,0.026,0.001,0.03,0.367,0.372,0.949,0.002,0.0,0.032,0.181,586.264,6516.332;;;;;;;;;;;;;CVaR daily
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;
