x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15;;;;;;;;;;;;;Sampling;N CBs
16456.170846322668,0.3174103116461358,0.004,0.036,0.003,0.037,0.773,0.517,0.999,0.004,0.0,0.0,0.0,109.082,440.434;;;;;;;;;;;;;minut;100
75439.91248323531,0.0,0.004,0.038,0.0,0.042,0.256,0.526,0.996,0.0,0.0,0.0,0.001,81.419,570.291;;;;;;;;;;;;;minut;200
125442.22144758767,0.0,0.002,0.028,0.001,0.03,0.268,0.492,0.989,0.0,0.0,0.0,0.001,81.793,744.394;;;;;;;;;;;;;minut;300
156651.94216192956,0.0,0.002,0.025,0.0,0.026,0.197,0.431,0.998,0.0,0.0,0.0,0.001,83.918,927.02;;;;;;;;;;;;;minut;400
237632.45699848162,0.0,0.006,0.026,0.0,0.032,0.288,0.42,0.999,0.0,0.0,0.0,0.001,84.915,1109.592;;;;;;;;;;;;;minut;500
8918.746340602029,0.7265457398559013,0.004,0.029,0.004,0.03,0.938,0.545,0.999,0.004,0.0,0.0,0.0,85.815,2049.018;;;;;;;;;;;;;Hourly;100
46884.52235667258,0.0,0.002,0.023,0.0,0.024,0.31,0.543,0.999,0.0,0.0,0.0,0.0,79.902,2138.825;;;;;;;;;;;;;Hourly;200
99937.48163279677,0.0,0.002,0.02,0.0,0.021,0.309,0.533,0.999,0.0,0.0,0.0,0.001,80.635,2312.992;;;;;;;;;;;;;Hourly;300
134031.628907553,0.0,0.002,0.017,0.0,0.019,0.218,0.512,0.989,0.0,0.0,0.0,0.001,84.67,2491.926;;;;;;;;;;;;;Hourly;400
178042.81500407445,2.2977262621506265,0.003,0.017,0.002,0.019,0.616,0.497,1.0,0.004,0.0,0.0,0.001,88.405,2698.802;;;;;;;;;;;;;Hourly;500
