x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
7864.32452606562,0.0,0.01,0.109,0.35,0.432,0.355,0.602,1.0,0.0,0.0,0.0,0.15,213.26,305.99
23067.47875298604,0.0,0.008,0.105,0.357,0.435,0.236,0.498,1.0,0.0,0.0,0.007,0.232,193.756,327.009
38945.04151483178,0.0,0.01,0.099,0.469,0.53,0.261,0.429,0.997,0.0,0.0,0.008,0.276,191.14,370.561
52234.67071890321,0.0,0.014,0.109,0.588,0.637,0.236,0.385,0.995,0.0,0.0,0.01,0.301,218.147,444.269
71862.20883746132,0.0,0.017,0.108,0.626,0.676,0.215,0.35,0.996,0.0,0.0,0.013,0.324,214.547,473.804
37299.387066705895,0.40741079270321096,0.005,0.097,0.35,0.415,0.622,0.6,1.0,0.005,0.0,0.0,0.145,213.26,305.99
108528.29179097406,1.9495279183706986,0.008,0.094,0.357,0.421,0.462,0.491,1.0,0.005,0.0,0.007,0.224,193.756,327.009
172195.42076373228,3.353581262815527,0.012,0.091,0.469,0.521,0.377,0.437,0.997,0.005,0.0,0.007,0.268,191.14,370.561
261546.39640784243,5.416335900152663,0.014,0.09,0.588,0.629,0.371,0.364,0.995,0.005,0.0,0.009,0.292,218.147,444.269
344692.432935708,7.545741471684272,0.016,0.089,0.626,0.663,0.336,0.333,0.996,0.005,0.0,0.013,0.314,214.547,473.804
