x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
851.2851589473556,0.0017912974898515175,0.009,0.096,0.002,0.103,0.36,0.513,0.457,0.0,0.0,0.014,0.182,447.212,1377.4
702.2948517567546,0.013222970137268647,0.009,0.094,0.002,0.102,0.349,0.551,0.483,0.0,0.0,0.001,0.188,429.612,1346.886
746.8460056216682,0.002240817980348459,0.012,0.091,0.004,0.1,0.399,0.534,0.456,0.0,0.0,0.02,0.184,440.456,1373.388
667.9992426798494,0.008051945576999103,0.011,0.094,0.004,0.102,0.394,0.562,0.616,0.0,0.0,0.027,0.171,447.198,1370.086
828.2527445392169,0.00567990308587553,0.012,0.093,0.003,0.103,0.389,0.516,0.639,0.0,0.0,0.03,0.182,421.115,1315.355
794.6208792358923,0.00021149564474443695,0.012,0.092,0.006,0.102,0.373,0.54,0.516,0.0,0.0,0.036,0.198,440.209,1365.208
774.419942924384,0.027062228594256603,0.009,0.092,0.004,0.1,0.406,0.559,0.628,0.0,0.0,0.027,0.146,441.442,1364.518
747.9633761746527,0.00029332841982465966,0.008,0.093,0.002,0.1,0.23,0.52,0.394,0.0,0.0,0.037,0.16,429.812,1333.072
828.4412095857545,0.0015854435329684246,0.01,0.094,0.001,0.102,0.214,0.548,0.647,0.0,0.0,0.029,0.19,426.387,1334.173
1077.9312443150527,3.407833207125102e-5,0.009,0.095,0.002,0.102,0.207,0.549,0.341,0.0,0.0,0.026,0.196,437.054,1364.417
